0	n.	5
1	bunch	8
2	opening	5
3	comed	6
4	cabinet	17
5	envelope	8
6	heat	11
7	reality	6
8	15th	5
9	advice	32
10	executive	25
11	ua4	6
12	prefer	29
13	amount	84
14	month	129
15	pilot	6
16	tune	8
17	handle	18
18	whitt	8
19	hp	5
20	mess	5
21	anna	5
22	iron	6
23	allocation	18
24	recently	13
25	download	46
26	commonwealth	7
27	msn	10
28	stall	7
29	builders	7
30	contact	150
31	tycholiz@enron	6
32	corporation	21
33	vendor	12
34	luchas	5
35	class	20
36	slip	7
37	treatment	5
38	l.p.	5
39	26th	7
40	tim	28
41	gulf	7
42	math	9
43	telephony	7
44	filter	8
45	point	103
46	jean	8
47	vols	13
48	eva	5
49	braunfels	11
50	ferc	22
51	grace	11
52	unterberg	9
53	carrier	12
54	td	11
55	deadline	7
56	mm	13
57	click	268
58	ipo	6
59	symbol	6
60	here	420
61	big	29
62	washington	17
63	represent	28
64	millennium	5
65	dozen	6
66	privacy	50
67	exercise	22
68	go	358
69	henry	14
70	performance	37
71	lenhart	31
72	american	40
73	refund	9
74	x	28
75	relationship	15
76	advise	13
77	language	21
78	into	6
79	enter	48
80	misplace	7
81	fiberglass	8
82	focus	31
83	confidential	11
84	accept	17
85	entertainment	6
86	senior	15
87	detailed	32
88	hunter	27
89	twice	7
90	eb3210c	8
91	post	52
92	tie	13
93	congress	8
94	contribution	8
95	weight	7
96	maximum	11
97	discuss	97
98	business	92
99	title	36
100	flash	6
101	night	26
102	sachs	12
103	robertson	18
104	maybe	22
105	coordinate	15
106	hyatt	5
107	mid	28
108	byte	13
109	justify	15
110	interpretation	7
111	mp3	5
112	harrill	5
113	president	15
114	lie	5
115	glad	17
116	fluctuation	6
117	testing	13
118	blair	8
119	mgr	5
120	eps	5
121	partly	5
122	tool	29
123	moore	9
124	ardmore	6
125	regulatory	14
126	erm	5
127	lam	5
128	ayres	5
129	lewis	5
130	solicitation	5
131	ii	7
132	decide	33
133	interim	12
134	partner	19
135	cc	37
136	fight	9
137	july	31
138	check	161
139	selling	14
140	kasper	6
141	notice	54
142	alan	7
143	rispoli	6
144	loan	70
145	slightly	9
146	hehub	6
147	deed	8
148	produce	25
149	lesson	5
150	porch	25
151	powerful	10
152	2nd	14
153	tremendous	5
154	insight	26
155	tour	7
156	energy	53
157	sub	7
158	personalized	5
159	error	24
160	coverage	40
161	general	43
162	extra	21
163	defense	5
164	wind	6
165	still	170
166	complex	17
167	xp	15
168	die	6
169	security	51
170	send	355
171	asset	30
172	imbalance	5
173	elizabeth	8
174	happy	38
175	labor	16
176	nyc	7
177	inevitablely	8
178	concern	70
179	few	59
180	gov.	6
181	subscriber	19
182	search	23
183	none	8
184	incorporate	11
185	generation	27
186	head	16
187	want	280
188	lucci	7
189	stack	7
190	stream	5
191	review	167
192	return	56
193	dd	5
194	capital	27
195	appreciate	26
196	ring	5
197	significantly	20
198	pbr	8
199	personal	60
200	expected	5
201	4th	5
202	promote	10
203	overseas	5
204	close	70
205	lkuch@mh	6
206	paul	19
207	change	188
208	estimate	105
209	san	119
210	parking	7
211	'til	5
212	electrical	7
213	variety	14
214	ancient	6
215	guarantee	34
216	sweet	5
217	improve	30
218	include	180
219	buda	7
220	resident	10
221	chad	9
222	application	85
223	prudency	5
224	version	32
225	jeanette	5
226	me	17
227	craig	11
228	host	5
229	gen	8
230	refer	10
231	phillip	1255
232	chicago-based	6
233	merchant	7
234	card	27
235	noi	14
236	f.	5
237	joe	21
238	environments	6
239	upgraded	20
240	pay	169
241	expense	53
242	dial	14
243	3pm	5
244	gift	35
245	train	11
246	evening	20
247	jeffries	6
248	confirm	40
249	albert	7
250	rather	28
251	entertaining	5
252	california	55
253	new	300
254	santucci	5
255	movie	12
256	ehrenberg	5
257	bilal	5
258	monday	76
259	resign	5
260	patti	22
261	ave	5
262	chat	14
263	october	73
264	introductory	5
265	couple	36
266	browser	20
267	day-ahead	6
268	single	21
269	sylvia	11
270	near	12
271	ena	9
272	top-notch	6
273	interior	14
274	rate	64
275	winfree	5
276	bovespa	13
277	first	142
278	already	52
279	advisor	7
280	investor	45
281	shively	5
282	fashion	5
283	lexington	6
284	circle	9
285	arizona	6
286	cincinnati	7
287	investments	6
288	how	14
289	assistance	29
290	rus	6
291	momentum	5
292	doc	17
293	proforma	29
294	discourage	5
295	usable	6
296	trust	10
297	attack	6
298	staff	23
299	interesting	6
300	suite	18
301	powermatch	6
302	receipt	34
303	reitmeyer	21
304	other	239
305	sunday	20
306	doan	5
307	earn	8
308	lavorato	12
309	enron	142
310	fear	10
311	warburg	10
312	ect@ect,	16
313	mcf	5
314	personnel	6
315	case	47
316	e-business	5
317	edison	9
318	pauline	12
319	briefing	22
320	yahoo	30
321	harry	9
322	have	903
323	mcnary	6
324	installer	7
325	express	16
326	willing	23
327	setting	18
328	constitute	5
329	bes	6
330	cent	10
331	columbus	5
332	insulation	5
333	boat	7
334	ftse	13
335	reserved	10
336	accord	34
337	p	42
338	prevent	14
339	revise	26
340	yy	5
341	multiple	6
342	window	19
343	handwritten	5
344	strategic	11
345	kulvinder	5
346	presenter	6
347	replatting	12
348	road	15
349	london	27
350	convey	13
351	los	7
352	precaution	5
353	rush	9
354	stick	11
355	guest	28
356	edwards	20
357	aspect	5
358	guggenheim	5
359	execution	6
360	again	85
361	darrell	5
362	indece	15
363	daughter	7
364	sent	7
365	discussion	38
366	therefore	12
367	biweekly	8
368	enron@enron	9
369	ride	19
370	h	20
371	house	64
372	nytime	6
373	hydro	8
374	officially	6
375	enough	33
376	typical	6
377	comprise	5
378	paycheck	5
379	ofo	5
380	digital	21
381	seek	17
382	similiar	8
383	submit	44
384	juan	29
385	inc.	111
386	money	91
387	holiday	42
388	yet	35
389	williams	9
390	diego	12
391	alot	8
392	buyout	8
393	natalie	5
394	cement	9
395	noon	20
396	portfolio	24
397	kerrville	5
398	lt	17
399	aprs	6
400	consultants	12
401	allowance	7
402	oct	5
403	chuck	5
404	shopping	16
405	hardware	5
406	maggie	5
407	ft.	9
408	australia	13
409	tycholiz	5
410	approach	11
411	folk	12
412	quarterly	13
413	accum	16
414	norman	5
415	engage	8
416	vacar	6
417	route	12
418	industrial	12
419	30th	5
420	p.c.	7
421	bike	17
422	enron@enronxgate,	5
423	book	67
424	shape	10
425	different	71
426	gas	195
427	5th	8
428	price	190
429	marcos	60
430	strength	5
431	pass	38
432	license	5
433	skill	10
434	seriously	13
435	size	25
436	com	307
437	settlement	5
438	position	68
439	e.	10
440	specialist	9
441	regulator	8
442	natural	54
443	townhome	8
444	imply	6
445	busy	20
446	electricity	19
447	give	163
448	partial	15
449	find	191
450	project	117
451	main	18
452	cd	16
453	high-level	5
454	merrill	22
455	x37041	28
456	overly	8
457	shim	8
458	invite	16
459	variance	6
460	election	9
461	appropriate	35
462	de	8
463	netscape	7
464	attract	11
465	extremely	20
466	cause	16
467	operating	30
468	metro	5
469	cool	13
470	begin	76
471	eye	18
472	community	11
473	html-based	5
474	pepl	6
475	queue	5
476	asap	15
477	01	16
478	developers	5
479	manufacturer	5
480	guru	7
481	one-stop	6
482	y	7
483	sonja	5
484	approximately	19
485	catherine	5
486	douglas	5
487	kaniss	5
488	recommendation	14
489	authorization	11
490	public	22
491	custom	8
492	amro	13
493	nw	7
494	effect	8
495	instant	8
496	27th	8
497	gordon	9
498	perceive	7
499	tu	5
500	visa	7
501	expertise	11
502	solution	20
503	forum	6
504	parcel	7
505	bc	7
506	unsubscribe	98
507	study	28
508	target	29
509	production	19
510	legislation	7
511	reaction	5
512	fit	14
513	skilling	7
514	terminate	5
515	entire	17
516	internet	95
517	all	46
518	login	22
519	store	20
520	discover	9
521	decook	5
522	clean	32
523	luck	15
524	provider	37
525	ask	93
526	cherry	8
527	stay	48
528	rent	91
529	special	69
530	efficiency	7
531	perform	53
532	productive	6
533	temporary	8
534	jon	7
535	method	14
536	premise	5
537	bend	5
538	positive	7
539	ms-word	10
540	detail	113
541	pacific	14
542	plan	200
543	association	17
544	predict	15
545	once	56
546	announce	26
547	gable	15
548	harkness	7
549	complain	8
550	surprise	31
551	base	81
552	daily	93
553	evaluate	13
554	initiate	21
555	ski	8
556	jensen	5
557	kohutek	11
558	red	15
559	negotiation	7
560	major	29
561	valuation	7
562	briefs	10
563	lan	6
564	outage	9
565	council	8
566	p.s.	8
567	ago	12
568	a	56
569	miller	21
570	slide	5
571	sp15	6
572	rc	10
573	fairly	6
574	brick	6
575	thought	23
576	construction	61
577	interview	41
578	protection	7
579	jet	8
580	content	29
581	unlimited	9
582	september	32
583	period	34
584	add	119
585	emergency	12
586	escape	5
587	rough	7
588	style	12
589	showtimes	5
590	double	30
591	muzzy	5
592	dining	5
593	incredibly	8
594	zip	13
595	england	5
596	texas	40
597	pop	5
598	murnan	8
599	screensaver	6
600	calculation	19
601	accuracy	10
602	credit	54
603	establish	20
604	weekly	43
605	relate	14
606	wave	5
607	timeline	13
608	below	33
609	usage	12
610	trademark	6
611	sometime	9
612	record	53
613	leader	8
614	transport	30
615	earnings	36
616	else	49
617	nov.	5
618	braz	13
619	assist	6
620	examine	8
621	desk	122
622	walking	5
623	recipient	16
624	original	68
